,Name,Authors,ISBN,ID,genres,pagesNumber,averageRating,userRating
15842,The Mysteries of Pittsburgh,Michael Chabon,0060790598,5872,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,4
15847,The Mysteries of Pittsburgh,Michael Chabon,0060790598,4465,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,3
15855,The Mysteries of Pittsburgh,Michael Chabon,0060790598,3674,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,4
15841,The Mysteries of Pittsburgh,Michael Chabon,0060790598,166,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,4
15859,The Mysteries of Pittsburgh,Michael Chabon,0060790598,3184,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,3
15858,The Mysteries of Pittsburgh,Michael Chabon,0060790598,3398,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,3
15862,The Mysteries of Pittsburgh,Michael Chabon,0060790598,621,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,3
15837,The Mysteries of Pittsburgh,Michael Chabon,0060790598,613,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,5
15857,The Mysteries of Pittsburgh,Michael Chabon,0060790598,3662,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,2
15856,The Mysteries of Pittsburgh,Michael Chabon,0060790598,3947,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,5
15850,The Mysteries of Pittsburgh,Michael Chabon,0060790598,1166,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,4
15835,The Mysteries of Pittsburgh,Michael Chabon,0060790598,4629,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,3
15845,The Mysteries of Pittsburgh,Michael Chabon,0060790598,879,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,2
15854,The Mysteries of Pittsburgh,Michael Chabon,0060790598,3690,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,4
15848,The Mysteries of Pittsburgh,Michael Chabon,0060790598,329,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,4
15853,The Mysteries of Pittsburgh,Michael Chabon,0060790598,3898,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,4
